pen,time period,Species,Study,Diet,"average 
feed intake, g/d","average feed intake, g","average 
feed intake, g/d",bodyweightgain,akp,alt,glucose,nefa,pip,tc,tg,trap,uric acid,mTOR,S6K1,4E-BP1,MURF1,MAFbx,AMPK,mTOR,S6K1,4E-BP1,MURF1,MAFbx,AMPK,PH,WHC,HARDNESS,SPRINGINESS,CHEWINESS,COHESIVENESS,GUMMINESS,RESILIENCE,PH,WHC,HARDNESS,SPRINGINESS,CHEWINESS
5,3-6 weeks,broiler chicken,broiler AST,0.08% P-2,113.11,2375.3604,171.49,43.788825,47.82682,,,859.7025,0.9597787,65.19929,15.85417,0.3929939,186.1248,,,,,,,,,,,,,,,,,,,,,,,,,
6,3-6 weeks,broiler chicken,broiler AST,0.08% P-2,102.31,2148.4155,157.79,39.14073,19.54585,3.62201,,,1.002002,68.4516,,0.3418477,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3-6 weeks,broiler chicken,broiler AST,2% P-1,112.59,2364.4446,177.66,50.6923,40.13457,1.129187,,327.2203,0.9457042,58.16767,19.91561,0.5215267,146.5688,,,,,,,,,,,,,,,,,,,,,,,,,
2,3-6 weeks,broiler chicken,broiler AST,2% P-1,107.84,2264.6484,164.29,48.120535,36.51008,1.550239,8.853633,891.8015,1.261741,61.72112,18.91746,0.5793442,144.6032,,,,,,,,,,,,,,,,,,,,,,,,,
3,3-6 weeks,broiler chicken,broiler AST,2% P-1,109.65,2302.6227,175.33,45.60158,35.50314,2.291866,9.228733,977.8986,1.064058,54.55399,21.48167,0.3792067,256.1465,,,,,,,,,,,,,,,,,,,,,,,,,
4,3-6 weeks,broiler chicken,broiler AST,2% P-1,110.63,2323.2006,180.00,43.954685,26.90515,5.282297,8.526934,1154.893,1.05766,66.56194,17.93652,0.4192342,223.4697,,,,,,,,,,,,,,,,,,,,,,,,,
5,3-6 weeks,broiler chicken,broiler AST,2% P-1,118.30,2484.3,190.33,52.622125,31.03463,3.014354,9.446533,945.4996,1.136989,66.50925,21.60214,0.3978862,111.1894,,,,,,,,,,,,,,,,,,,,,,,,,
6,3-6 weeks,broiler chicken,broiler AST,2% P-1,106.55,2237.5395,172.82,43.110555,39.56178,5.205741,,427.5669,0.913077,66.19305,18.65932,0.4121182,214.1335,,,,,,,,,,,,,,,,,,,,,,,,,
1,3-6 weeks,broiler chicken,broiler AST,0.32% P-2,116.46,2445.5802,192.33,49.438625,22.41539,1.712919,8.157884,548.6129,1.146586,58.13755,24.66543,0.3912149,214.1335,,,,,,,,,,,,,,,,,,,,,,,,,
2,3-6 weeks,broiler chicken,broiler AST,0.32% P-2,107.52,2257.8633,173.99,51.070995,29.02125,4.162679,8.768933,768.8055,1.228474,64.69488,34.06182,0.5277532,150.4998,,,,,,,,,,,,,,,,,,,,,,,,,
3,3-6 weeks,broiler chicken,broiler AST,0.32% P-2,108.34,2275.1799,174.11,43.938545,15.22156,6.148325,10.03137,1035.047,1.120356,74.91858,16.00905,0.4050022,161.8015,,,,,,,,,,,,,,,,,,,,,,,,,
4,3-6 weeks,broiler chicken,broiler AST,0.32% P-2,102.50,2152.4265,168.02,50.809525,25.32389,1.746411,10.22698,1014.647,1.03399,,16.99,0.5366482,361.3018,,,,,,,,,,,,,,,,,,,,,,,,,
